,Round,Seed,Opp_1,Opp_2,Opp_3,Opp_4,Opp_5,Opp_6,Final Rd,Team,Conf,W,AdjO,AdjD,AdjT,Luck,OppO,OppD,Non-Conf SOS,Year
633,1,13,Syracuse,,,,,,No Upset,Montana,BSky,25.0,104.9,102.8,62.7,0.175,101.8,107.0,8.71,2013
634,1,14,Michigan,,,,,,No Upset,Montana,BSky,26.0,108.8,98.4,68.0,-0.0,104.0,106.0,2.09,2018
635,1,15,Michigan,,,,,,No Upset,Montana,BSky,26.0,107.4,103.9,66.9,0.059,102.4,108.4,4.03,2019
636,1,14,Texas Tech,,,,,,No Upset,Montana St.,BSky,27.0,104.3,101.4,67.5,0.085,101.6,107.6,-1.34,2022
637,1,16,Louisville,,,,,,No Upset,Morehead St.,OVC,20.0,102.0,101.3,65.3,0.015,103.6,105.5,3.49,2009
638,2,13,Louisville,Richmond,,,,,No Upset,Morehead St.,OVC,25.0,105.6,98.6,63.4,0.023,102.2,105.1,2.66,2011
639,1,14,West Virginia,,,,,,No Upset,Morehead St.,OVC,23.0,100.6,97.4,65.2,0.146,102.1,103.2,16.21,2021
640,1,15,Oklahoma,,,,,,No Upset,Morgan St.,MEAC,23.0,100.1,99.1,65.5,0.031,98.2,105.7,4.82,2009
641,1,15,West Virginia,,,,,,No Upset,Morgan St.,MEAC,27.0,105.5,104.0,68.6,0.078,98.2,105.9,0.13,2010
642,1,16,North Carolina,,,,,,No Upset,Mount St. Mary's,NEC,19.0,99.3,100.6,66.1,0.014,101.6,106.9,-0.05,2008
643,1,16,Villanova,,,,,,No Upset,Mount St. Mary's,NEC,20.0,99.5,103.4,66.8,0.074,102.0,106.5,11.52,2017
644,1,14,Georgia,,,,,,No Upset,Murray St.,OVC,17.0,106.8,105.5,69.2,0.017,103.2,104.9,3.98,2002
645,1,12,Illinois,,,,,,No Upset,Murray St.,OVC,28.0,110.5,99.9,68.7,0.064,103.1,106.9,1.25,2004
646,1,14,North Carolina,,,,,,No Upset,Murray St.,OVC,24.0,104.5,96.0,63.2,0.01,102.3,107.6,4.32,2006
647,2,13,Vanderbilt,Butler,,,,,No Upset,Murray St.,OVC,31.0,109.0,94.0,65.6,-0.011,100.2,106.0,-5.24,2010
648,2,6,Colorado State,Marquette,,,,,No Upset,Murray St.,OVC,31.0,108.5,93.2,65.0,0.031,102.9,105.2,3.63,2012
649,1,12,West Virginia,,,,,,No Upset,Murray St.,OVC,26.0,112.9,100.7,67.2,-0.0,102.9,106.4,-0.99,2018
650,2,12,Marquette,Florida State,,,,,No Upset,Murray St.,OVC,28.0,112.5,98.6,69.4,0.054,103.1,106.4,-1.13,2019
651,2,7,San Francisco,Saint Peter's,,,,,Upset,Murray St.,OVC,31.0,111.5,96.1,66.1,0.074,101.1,104.2,4.29,2022
652,2,7,Michigan State,Connecticut,,,,,No Upset,N.C. State,ACC,23.0,113.2,94.0,67.5,0.012,108.6,100.4,-5.56,2002
653,1,9,California,,,,,,No Upset,N.C. State,ACC,18.0,111.2,98.1,65.0,-0.023,106.9,98.4,-6.48,2003
654,2,3,Louisiana,Vanderbilt,,,,,Upset,N.C. State,ACC,21.0,119.1,95.1,62.1,-0.072,109.5,96.7,-0.59,2004
655,3,10,Charlotte,Connecticut,Wisconsin,,,,No Upset,N.C. State,ACC,21.0,115.0,96.1,63.1,-0.062,108.3,98.3,-3.82,2005
656,2,10,California,Texas,,,,,No Upset,N.C. State,ACC,22.0,112.5,96.6,64.4,0.013,107.1,100.3,-7.99,2006
657,3,11,San Diego State,Georgetown,Kansas,,,,No Upset,N.C. State,ACC,24.0,112.1,97.9,67.0,-0.004,105.9,99.7,1.18,2012
658,1,8,Temple,,,,,,Upset,N.C. State,ACC,24.0,116.8,99.8,66.8,-0.032,106.1,99.5,-0.36,2013
659,1,12,Saint Louis,,,,,,No Upset,N.C. State,ACC,22.0,114.0,102.4,64.7,0.065,108.4,100.7,-4.31,2014
660,3,8,LSU,Villanova,Louisville,,,,No Upset,N.C. State,ACC,22.0,114.9,98.9,64.1,-0.003,109.3,99.5,-0.65,2015
661,1,9,Seton Hall,,,,,,No Upset,N.C. State,ACC,21.0,116.3,101.8,71.4,-0.001,108.6,100.9,-9.71,2018
662,1,11,Baylor,,,,,,No Upset,Nebraska,B10,19.0,108.8,96.1,64.7,0.047,108.4,99.1,-1.95,2014
663,3,10,Michigan State,Gonzaga,Georgia Tech,,,,No Upset,Nevada,WAC,25.0,112.3,92.0,68.7,-0.039,107.6,100.5,4.97,2004
664,2,9,Texas,Illinois,,,,,No Upset,Nevada,WAC,25.0,104.0,91.8,65.7,0.045,104.5,103.4,0.35,2005
